feature,fscore
mid_cmmt_rate,0.0015360983102918587
sale_mean_ord,0.0015360983102918587
bad_cmmt_rate_x,0.0015360983102918587
user_cnt_std_history,0.0015360983102918587
offer_cnt_sum_history,0.0015360983102918587
ord_cnt_max,0.0015360983102918587
ord_cnt_mean,0.0015360983102918587
bad_num_sum_history,0.0015360983102918587
ord_cnt_std_history,0.0015360983102918587
sale_uer_max,0.0015360983102918587
offer_cnt_mean,0.0015360983102918587
ord_cnt_max_history,0.0015360983102918587
bad_cmmt_rate_y,0.0015360983102918587
offer_cnt_max_history,0.0015360983102918587
pid_sum_history,0.0015360983102918587
rtn_cnt_sum_history,0.0015360983102918587
rtn_cnt_mean_history,0.0015360983102918587
sale_user_rate,0.0015360983102918587
rtn_cnt_std_history,0.0015360983102918587
offer_amt_median,0.0030721966205837174
sale_ord_mean,0.0030721966205837174
user_cnt_mean_history,0.0030721966205837174
sale_amt_max_history,0.004608294930875576
ord_cnt_std,0.004608294930875576
user_cnt_std,0.004608294930875576
offer_cnt_max,0.006144393241167435
sale_amt_min_history,0.006144393241167435
user_cnt_max,0.006144393241167435
sale_ord_rate_history,0.006144393241167435
user_cnt_sum_history,0.006144393241167435
sale_mean_ord_history,0.006144393241167435
ord_cnt_sum_history,0.006144393241167435
sale_ord_mean_history,0.007680491551459293
offer_amt_sum,0.007680491551459293
ord_cnt_mean_history,0.007680491551459293
sale_amt_median,0.009216589861751152
sale_amt_mean_history,0.009216589861751152
user_cnt_mean,0.009216589861751152
cmmt_num_sum_history,0.010752688172043012
sale_amt_std_history,0.010752688172043012
good_num_sum,0.01228878648233487
rtn_cnt_sum,0.016897081413210446
good_num_sum_history,0.019969278033794162
dis_num_sum,0.019969278033794162
sale_amt_std,0.019969278033794162
offer_cnt_sum,0.027649769585253458
user_cnt_sum,0.030721966205837174
sale_amt_mean,0.03686635944700461
history_sum_median,0.039938556067588324
sale_amt_sum_history,0.047619047619047616
ord_cnt_sum,0.04915514592933948
history_sum_max,0.04915514592933948
history_sum_mean,0.06912442396313365
sale_amt_max,0.07373271889400922
history_sum_min,0.09523809523809523
sale_amt_sum,0.22427035330261136
